Button1,Door1

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w,w,w,w,w,w,w,w,f:d,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,,,,,,,
,w,f,f,f,f,f,w,f,f,f,w,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,f,f,f,f,w,,,,,,,
,w,f,f,f,f,f,w,f,f,f,w,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,f,f,f,f,w,,,,,,,
,w,f,f,f,f,f,f:d,f,f:a,f,f:d,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,f,f,f,f,f:d,,,,,,,
,w,f,f,f,f,f,w,f,f,f,w,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,f,f,f,f,w,,,,,,,
,w,w,w,w,w,w,w,f,f,f,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,f,f,f,f,w,,,,,,,
,w,f,f,f,f,f,w,f,f,f,w,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,f,f,f,w,w,w,w,w,w,w,w
,w,f,f,f,f,f,f:d,f,f,f,f:d,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,w,f,f,f,f:d,f,f,f,f,f,f,w
,w,f,f,f,f,f,w,f,f,f,w,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,w,f,f,f,w,w,w,w,w,w,w,w
,w,f,f,f,f,f,w,f,f,f,w,f,f,f,f,f,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,f,f,f,f,f,f:d,f,f,f,f:d,f,f,f,f,f,f,w
