button1,door1
button2,door2
button3,door3

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,w,f:t>e,f:t>s,f:t>s,f:t>s,f:t>s,f:t>s,f:t>s,f,f,f,f,f,f,f:p>w,f,w,f,f:p>e,f,f,f,f:t>s,f:t>s,f:t>s,f:t>s,f:t>s,f,f,f,f,f,w,f,f,f,f,f,f,f,w
,w,f:t>e,f,f,f,f,f,f,f,f,f,f,f,f,f,f:p>w,w,f:p>e,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f:d^door3,f,f,f,f,f,f,f,w
,w,f:t>e,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w
,w,f:t>e,f,f,f:a^agent0,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f:g^Goal,f,f,f,w
,w,f:t>e,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w
,w,f:t>n,f:t>n,f:t>n,f:t>n,f:t>n,f:t>n,f:t>n,w,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,w
,w,w,w,w,w,w,w,w,w,f:t>e,f,f,f,f,f,f,w,f,f,f,w,w,w,w,w,f,f,f,f,f,f,f,w,w,w,w,w,w,w,w,w
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,w,f,f,f,w,f,f,f,w,f,f,f,f,f,f,f,w,,,,,,,,
,,,,,,,,,w,f:t>e,f,f,f,f,f,f,w,f,f,f,w,f,f:b^button3,f,w,f,f,f,f,f,f,f,w,,,,,,,,
