NPC-a1,ga1,ga2,ga3,ga4
NPC-a2,ga2,ga3,ga4,ga1
NPC-a3,ga3,ga4,ga1,ga2
NPC-a4,ga4,ga1,ga2,ga3

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f:ng^g1,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f:ng^g5,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,w,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,w,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,w,w,w,w,w,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f:ng^ga1,f:npc^NPC-a1,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,w,w,w,w,w,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,w,w,w,w,w,w,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f:npc^NPC-a2,f,f,w,f,f,f,f,w,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f:ng^ga2,f,f,w,f,f,f,f,w,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f:ng^g2,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,w,f,f,f:ng^ga4,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,w,f,f,f:npc^NPC-a4,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,w,w,w,w,w,w,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,w,w,w,w,w,w,w,w,w,w,w,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f:ng^g4,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f:npc^NPC-a3,f:ng^ga3,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,w,f,f,f,f,f,w,w,w,w,w,w,w,w,w,w,w,w,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f:ng^g3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f:a,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,w,w,w,w,w,w,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,w,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,w,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,w,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,w,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,w,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,w,w,w,w,w,w,,,,,,w,,,,,,w,,,,,,w,,,,,,,,,,,w,w,w,w,w,w,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,w,,,,,,w,,,,,,,,,,,w,,,,,w,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,w,,,,,,w,,,,,,,,,,,w,,,,,w,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,w,,,,,,w,,,,,,,,,,,w,,,,,w,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,w,,,,,,w,,,,,,,,,,,w,,,,,w,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,w,,,,,,w,,,,,,,,,,,w,w,w,w,w,w,,,,,,,,,w
,,,w,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,w,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w
,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
